V13,V14,p.value,probability,n,p_adju,p_scaled
IPR006121,"Heavy metal-associated domain, HMA",2e-323,0.0010173414990843552,368,8.74e-322,3210.5824207675396
IPR000525,"Initiator Rep protein, WH1 domain",3.316936212e-314,0.0001874713190861564,159,1.443609849913e-312,3118.4055016336215
IPR025139,Domain of unknown function DUF4062,0.0,0.000023105558629148815,94,0.0,3076.5265556858876
IPR003593,AAA+ ATPase domain,0.0,0.00008663244256311946,198,0.0,3076.5265556858876
IPR007489,"Regulator of chromosome segregation-like, C-terminal domain",0.0,0.00014276125900098213,419,0.0,3076.5265556858876
IPR003855,Potassium transporter,0.0,0.00014420870698935107,188,0.0,3076.5265556858876
IPR002514,Transposase IS3/IS911family,0.0,0.0009403587097770287,774,0.0,3076.5265556858876
IPR003500,"Sugar-phosphate isomerase, RpiB/LacA/LacB family",0.0,0.00041086079195776454,239,0.0,3076.5265556858876
IPR003439,"ABC transporter-like, ATP-binding domain",0.0,0.02091471207579052,1640,0.0,3076.5265556858876
IPR001584,"Integrase, catalytic core",0.0,0.004201083763278995,3126,0.0,3076.5265556858876
IPR008687,Bacterial mobilisation,0.0,0.0001157958390695161,151,0.0,3076.5265556858876
IPR002575,Aminoglycoside phosphotransferase,0.0,0.0007628586990551917,310,0.0,3076.5265556858876
IPR006119,"Resolvase, N-terminal catalytic domain",0.0,0.001438280817775948,8831,0.0,3076.5265556858876
IPR015378,"Transposase-like, Mu, C-terminal",0.0,0.00006840531974662155,195,0.0,3076.5265556858876
IPR001207,"Transposase, mutator type",0.0,0.0011900166831782955,871,0.0,3076.5265556858876
IPR008756,Peptidase M56,0.0,0.00020269632755640757,594,0.0,3076.5265556858876
IPR001357,BRCT domain,0.0,0.000319457131951503,353,0.0,3076.5265556858876
IPR041495,Mub B2-like domain,0.0,0.0005278360330918776,407,0.0,3076.5265556858876
IPR010506,DMAP1-binding domain,0.0,3.859861302317203e-6,63,0.0,3076.5265556858876
IPR002513,Tn3 transposase DDE domain,0.0,0.0001244269178149754,604,0.0,3076.5265556858876
IPR025296,Domain of unknown function DUF4158,0.0,0.0000946738202762803,507,0.0,3076.5265556858876
IPR006120,"Resolvase, HTH domain",0.0,0.00046232560932199393,4541,0.0,3076.5265556858876
IPR001460,"Penicillin-binding protein, transpeptidase",0.0,0.0015621180345586248,606,0.0,3076.5265556858876
IPR007337,RelB antitoxin/Antitoxin DinJ,0.0,0.00012608880254236197,154,0.0,3076.5265556858876
IPR006173,"Staphylococcal/Streptococcal toxin, OB-fold",0.0,0.00021454395738713122,285,0.0,3076.5265556858876
IPR006123,"Staphylococcal/Streptococcal toxin, beta-grasp domain",0.0,0.00044629646308042665,295,0.0,3076.5265556858876
IPR025246,Transposase IS30-like HTH domain,0.0,0.0009041725100678049,906,0.0,3076.5265556858876
IPR024978,"Homeodomain, phBC6A51-type",0.0,0.000019245697326831613,98,0.0,3076.5265556858876
IPR040834,Nicking enzyme C-terminal middle helical domain,0.0,0.0000688878024094112,153,0.0,3076.5265556858876
IPR021145,Portal protein,0.0,0.00018591665272827863,165,0.0,3076.5265556858876
IPR013610,N-terminal domain of anti-restriction factor ArdC,0.0,0.00009638931418842128,198,0.0,3076.5265556858876
IPR025948,HTH-like domain,0.0,0.0015269504093597347,882,0.0,3076.5265556858876
IPR015020,"Rv2525c-like, glycoside hydrolase-like domain",0.0,0.00006465267681381315,151,0.0,3076.5265556858876
IPR010724,"Replication initiator A, N-terminal",0.0,0.00023212776998657626,468,0.0,3076.5265556858876
IPR005650,BlaI transcriptional regulatory family,0.0,0.00033805951906128173,633,0.0,3076.5265556858876
IPR011686,Omega transcriptional repressor,0.0,0.000045246151932718326,149,0.0,3076.5265556858876
IPR005053,MobA/MobL protein,0.0,0.0001080761164648817,185,0.0,3076.5265556858876
IPR025161,Insertion element IS402-like domain,0.0,0.00023695259661447277,511,0.0,3076.5265556858876
IPR025669,AAA domain,0.0,0.0008057996560434706,907,0.0,3076.5265556858876
IPR006442,"Type II toxin-antitoxin system, antitoxin Phd/YefM",0.0,0.00018838267522698128,182,0.0,3076.5265556858876
IPR040652,"Cry35Ab1 , HTH C-terminal domain",0.0,0.00001195484820023245,160,0.0,3076.5265556858876
IPR012452,Protein of unknown function DUF1657,0.0,0.00010946995526849624,182,0.0,3076.5265556858876
IPR006540,"Bacteriocin, lactococcin 972",0.0,0.00004481727845468309,272,0.0,3076.5265556858876
IPR035528,Protein of unknown function DUF5388,0.0,0.00003597176297020616,120,0.0,3076.5265556858876
IPR009620,Uncharacterised protein family UPF0236,0.0,0.00012078149325167583,146,0.0,3076.5265556858876
IPR009459,MucBP domain,0.0,0.001479667108406349,713,0.0,3076.5265556858876
IPR002559,Transposase IS4-like domain,0.0,0.0011596202754225475,968,0.0,3076.5265556858876
IPR024728,"DNA polymerase type-Y, HhH motif",0.0,0.0004038379887549374,298,0.0,3076.5265556858876
IPR000358,Ribonucleotide reductase small subunit family,0.0,0.0003149003512473785,286,0.0,3076.5265556858876
IPR041558,Mucin binding domain,0.0,0.00032782016477319025,231,0.0,3076.5265556858876
IPR006541,Bacteriocin-associated integral membrane protein,0.0,0.00011810103401395554,250,0.0,3076.5265556858876
IPR003812,Fido domain,0.0,0.0002878813221311581,202,0.0,3076.5265556858876
IPR005094,"MobA/VirD2-like, nuclease domain",0.0,0.00014276125900098213,193,0.0,3076.5265556858876
IPR017961,"DNA polymerase, Y-family, little finger domain",0.0,0.0005964021803927624,342,0.0,3076.5265556858876
IPR014820,"Primase, C-terminal 1",0.0,0.00017578451680969596,296,0.0,3076.5265556858876
IPR021112,"Group II intron-interrupted relaxase LtrB, C-terminal domain",0.0,0.00002337360455292084,113,0.0,3076.5265556858876
IPR013571,"Transcription regulator QacR, C-terminal",0.0,0.00005092872551668532,234,0.0,3076.5265556858876
IPR012640,"Membrane lipoprotein, lipid attachment site",0.0,0.00006395575741200588,448,0.0,3076.5265556858876
IPR001126,UmuC domain,0.0,0.0006003156508798339,347,0.0,3076.5265556858876
IPR032874,DDE domain,0.0,0.000994611204748487,2357,0.0,3076.5265556858876
IPR009241,Toxin HigB-like,0.0,0.00003522123438364448,119,0.0,3076.5265556858876
IPR045155,"Beta-lactamase class A, catalytic domain",0.0,0.0003187602125496957,584,0.0,3076.5265556858876
IPR001668,Plasmid recombination enzyme,0.0,0.00014935518872577402,425,0.0,3076.5265556858876
IPR048299,"Group II intron-interrupted relaxase LtrB, central domain",0.0,0.00003152220063559049,136,0.0,3076.5265556858876
IPR041151,"Replication initiator protein A, C-terminal domain",0.0,0.00014935518872577402,337,0.0,3076.5265556858876
IPR013497,"DNA topoisomerase, type IA, central",0.0,0.0007116619276147344,606,0.0,3076.5265556858876
IPR001845,HTH ArsR-type DNA-binding domain,0.0,0.001175274157370834,665,0.0,3076.5265556858876
IPR006171,TOPRIM domain,5.991419460874905e-307,0.0017768764286847738,532,2.5692616393987095e-305,3045.9019166733297
IPR009614,Toxin YoeB,1.3061949574661783e-304,0.0001462458560100185,142,5.520093472422284e-303,3022.5805356824662
IPR025589,Topoisomerase C-terminal repeat,8.553059445846832e-298,0.00018028768832906603,150,3.562960192012766e-296,2954.481890298762
IPR033764,"SD-repeat containing protein, B domain",4.905150535677842e-296,0.0005802658157816863,249,2.0145660509910688e-294,2936.9581848895536
IPR000157,Toll/interleukin-1 receptor homology (TIR) domain,2.005917020484886e-292,0.000035274843568398885,91,8.123963932963788e-291,2900.9023201335067
IPR005602,Protein of unknown function DUF334,5.902978446344344e-290,0.000013831169666636645,73,2.3579568698000146e-288,2876.27464142998
IPR010488,Zeta toxin domain,6.8247688274598e-289,0.00008947372935510295,116,2.689327824442267e-287,2865.703562547985
IPR024498,Domain of unknown function DUF2786,1.424227712977234e-287,0.000017262157490918603,76,5.537397348055486e-286,2852.566943116197
IPR013509,"Ribonucleotide reductase large subunit, N-terminal",1.9210364002368318e-287,0.0002959763090290733,177,7.370713346171844e-286,2851.3249047858408
IPR000788,"Ribonucleotide reductase large subunit, C-terminal",7.179166240061516e-287,0.00033730899047472007,187,2.7187595787038156e-285,2845.6562919559706
IPR000802,"Arsenical pump membrane protein, ArsB",7.854677014832866e-265,0.00018307536593629515,137,2.936440791699056e-263,2625.321787515374
IPR000055,Type I restriction modification DNA specificity domain,2.6310294506903366e-264,0.0006081962010387315,235,9.711496048370914e-263,2620.1271386221306
IPR032364,"Gram-positive pilin subunit D1, N-terminal",1.274636875602851e-257,0.00023705981498398158,148,4.646051411572392e-256,2553.3291598875903
IPR011438,Domain of unknown function DUF1541,4.3633837249480766e-251,0.00013289716900617148,117,1.5708181409813076e-249,2488.038740918156
IPR001737,Ribosomal RNA adenine methyltransferase KsgA/Erm,6.804602869557339e-251,0.00037580038512838326,177,2.419783166784049e-249,2486.1622354876677
IPR011707,"Multicopper oxidase-like, N-terminal",3.561925760616109e-248,0.00012667850357466043,114,1.2513946407176594e-246,2459.0260570928476
IPR003477,mRNA interferase PemK-like,1.206154112303567e-247,0.0004584657480196767,193,4.187077846996668e-246,2453.7808896454303
IPR005562,SpoVA,4.167993283560327e-239,0.00017154939121409793,123,1.429866872336696e-237,2368.4470439561255
IPR015090,Bacterial epsilon antitoxin,4.798648334482936e-238,0.00003002114346246714,73,1.6270765748084e-236,2357.885920074601
IPR019931,LPXTG cell wall anchor domain,1.7276845984458594e-236,0.0018216400979547023,466,5.790722171342674e-235,2342.3726727125163
IPR003688,Type IV secretion system protein TraG/VirD4,1.1312514488889786e-232,0.00017047720751900983,120,3.748555937454843e-231,2304.261360040531
IPR002560,"Transposase IS204/IS1001/IS1096/IS1165, DDE domain",2.7580318867310523e-227,0.0013710012909091689,361,9.036428069334549e-226,2250.440032040746
IPR007353,"YetF, C-terminal domain",3.290613987277177e-225,0.0003191354768429766,151,1.0661589318778053e-223,2229.72178050382
IPR025668,Transposase DDE domain,3.435096639951207e-222,0.0007265652809764591,230,1.1007408573733759e-220,2199.5831491305335
IPR010931,"Lactococcus lactis RepB, C-terminal",1.0302279828985006e-215,0.00004680081829059609,75,3.2653747805782912e-214,2134.8606696575307
IPR001387,Cro/C1-type helix-turn-helix domain,1.6302160505091604e-213,0.005259972380548015,1369,5.111516132564206e-212,2112.9145026418128
IPR000477,Reverse transcriptase domain,4.6610838015261445e-212,0.00047508459529354245,175,1.4459276984308764e-210,2098.3985342277974
IPR041685,"AAA domain, group 15",2.1380538566978842e-203,0.00008271897207604785,84,6.562700048558979e-202,2011.8291744493285
IPR025332,Protein of unknown function DUF4238,1.8408156345124198e-199,0.000020425099391428534,57,5.591477489831475e-198,1972.524734191446
IPR000515,"ABC transporter type 1, transmembrane domain MetI-like",1.3659895998360171e-195,0.008344752089686021,387,4.106418219713223e-194,1933.8653682182753
IPR011109,DNA-binding recombinase domain,1.1940266247704162e-186,0.00042415586977685715,150,3.552838405949524e-185,1844.4942454511422
IPR025580,Protein of unknown function DUF4355,6.06483934151325e-186,0.0001406168916108059,93,1.7863708605911757e-184,1837.480283741214
IPR005074,"Peptidase C39, bacteriocin processing",7.719398014211861e-184,0.00010405542760830127,83,2.2509764609441785e-182,1816.4762904650793
IPR000424,Primosome PriB/single-strand DNA-binding,6.437997888581641e-179,0.0006754221187207562,189,1.858732855752878e-177,1767.3078302421916
IPR005754,Sortase family,4.365217006039909e-177,0.0007066762734325747,193,1.2479385087855268e-175,1749.0380681365446
IPR025827,Recombinase zinc beta ribbon domain,3.3242366978953746e-173,0.0003569835612795869,130,9.411140010740691e-172,1710.2635776547963
IPR010354,Oleate hydratase,4.2048728794811063e-172,0.00020543039597888227,101,1.1789816650545102e-170,1699.284929487875
IPR014962,YolD-like protein,8.220127346727474e-172,0.00023143085058476899,106,2.282846794576887e-170,1696.4152323371454
IPR011706,"Multicopper oxidase, C-terminal",1.9002513898911586e-170,0.000116707195210341,81,5.22748401219115e-169,1682.8170728676046
IPR007530,Aminoglycoside 6-adenylyltransferase,3.476538582962707e-168,0.00011627832173230576,80,9.474379913943228e-167,1660.2344920444857
IPR025723,Anion-transporting ATPase-like domain,1.596683903405569e-166,0.00013654259356947108,84,4.2714956535143474e-165,1643.6942003121972
IPR004465,"Ribonucleotide reductase Class Ib, NrdI",1.595988145503594e-166,0.0002612375573082185,109,4.2714956535143474e-165,1643.6942003121972
IPR013554,Ribonucleotide reductase N-terminal,1.1687861078599462e-162,0.0002448867559581248,104,3.098345718654185e-161,1605.088701245604
IPR041073,MobL relaxases,2.2302707160819433e-161,0.00009038508549592785,71,5.858981448734186e-160,1592.321778770949
IPR011547,SLC26A/SulP transporter domain,3.2513835086802e-161,0.0002764089565937153,109,8.465209206528091e-160,1590.7236230440467
IPR002934,"Polymerase, nucleotidyl transferase domain",2.2637051107498214e-158,0.00016232861143634017,86,5.841561153049981e-157,1562.3347107248533
IPR000989,Replication protein,9.772475408367952e-158,0.00010410903679305568,73,2.4996963412983286e-156,1556.0211274545127
IPR007341,Transglycosylase-associated protein,1.5754039185440282e-157,0.00044136441808302135,135,3.9946763708472923e-156,1553.985183993408
IPR002686,Transposase IS200-like,3.5784342269747835e-157,0.00046715043594989044,139,8.995443280912473e-156,1550.4597743046065
IPR013196,"Helix-turn-helix, type 11",2.140657021172016e-154,0.0018249638674094756,368,5.335175960459487e-153,1522.7285125245387
IPR008454,"Collagen-binding surface protein Cna-like, B-type domain",8.091125482828624e-153,0.0004351457526515103,131,1.9994679582990058e-151,1506.9908555109307
IPR014942,"Nucleotidyl transferase AbiEii toxin, Type IV TA system",2.993915900265802e-149,0.000058326793012793294,58,7.33635190350847e-148,1471.3451984499256
