

replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_wholeness	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	used_in
all_contigs	NZ_CP175676.1_67760-77929:._3	RM_Type_II__Type_II_MTases_FAM_0	10646	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	89	4.5e-18	68.100	0.142	0.730	16	80	
all_contigs	NZ_CP103325.1_27482-38071:._2	RM_Type_II__Type_II_MTases_FAM_0	10692	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	363	8e-108	363.400	0.956	0.983	1	357	
all_contigs	NC_004193.1_177935-188128:._4	RM_Type_II__Type_II_MTases_FAM_0	19650	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	597	2.7e-99	335.400	0.986	0.963	8	582	
all_contigs	NZ_CP025206.1_20412-30992:._4	RM_Type_II__Type_II_MTases_FAM_0	32028	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	185	0.00031	22.600	0.219	0.438	45	125	
all_contigs	NZ_CP016539.2_1159389-1170005:._10	RM_Type_II__Type_II_MTases_FAM_0	34260	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	366	3.8e-92	311.900	0.975	0.986	1	361	
all_contigs	NZ_CP016702.1_45953-56551:._2	RM_Type_II__Type_II_MTases_FAM_0	34450	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	376	6.3e-106	357.200	0.984	0.952	2	359	
all_contigs	NZ_CP136801.1_81169-91773:._10	RM_Type_II__Type_II_MTases_FAM_0	37904	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	188	3.5e-05	25.700	0.306	0.590	45	155	
all_contigs	NZ_CP155570.1_622192-632790:._8	RM_Type_II__Type_II_MTases_FAM_0	54573	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	386	5.8e-92	311.300	0.970	0.922	2	357	
all_contigs	NZ_CP183391.1_2313598-2324190:._8	RM_Type_II__Type_II_MTases_FAM_0	61404	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	436	1.2e-94	320.100	0.986	0.768	100	434	
all_contigs	NZ_CP126118.1_36842-47473:._11	RM_Type_II__Type_II_MTases_FAM_0	64249	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	205	1.1e-57	198.500	0.530	0.971	1	199	
all_contigs	NZ_CP020018.1_925741-935985:._14	RM_Type_II__Type_II_MTases_FAM_0	68092	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	71	9.1e-19	70.400	0.153	0.930	2	67	
all_contigs	NZ_CP121512.1_1-8260:._5	RM_Type_II__Type_II_MTases_FAM_0	77466	defense-finder-models/RM/RM/RM_Type_II	all_contigs_RM_Type_II_108	1.000	RM_Type_II__Type_II_MTases_FAM_0	mandatory	360	2.6e-98	332.200	0.984	0.942	1	339	
