blast_hit_id	contig_orf_id	genome	strand	genome_start	genome_stop
NZ_CP123581.1_1864	NZ_CP123581.1_1804217-1814803:._7	NZ_CP123581.1	1	1809216	1809803
NZ_CP123582.1_14	NZ_CP123582.1_8446-19029:._6	NZ_CP123582.1	-1	13445	14029
NZ_CP023654.1_694	NZ_CP023654.1_742848-753443:._7	NZ_CP023654.1	1	747847	748443
NZ_CP169423.1_8	NZ_CP169423.1_2036-12349:._6	NZ_CP169423.1	1	7509	7724
NZ_CP169423.1_44	NZ_CP169423.1_39198-49814:._5	NZ_CP169423.1	-1	44197	44814
NZ_CP169423.1_47	NZ_CP169423.1_39198-49814:._8	NZ_CP169423.1	1	48554	49186
NZ_CP169424.1_39	NZ_CP169424.1_31560-42140:._3	NZ_CP169424.1	-1	32097	33398
NZ_CP169424.1_44	NZ_CP169424.1_31560-42140:._8	NZ_CP169424.1	1	38813	39670
NZ_CP169424.1_51	NZ_CP169424.1_43555-54186:._3	NZ_CP169424.1	1	45824	46414
NZ_LS483440.1_152	NZ_LS483440.1_168626-179233:._5	NZ_LS483440.1	-1	173625	174233
NZ_CP149537.1_5	NZ_CP149537.1_1-9788:._5	NZ_CP149537.1	-1	3720	5129
NZ_CP149538.1_30	NZ_CP149538.1_17208-27830:._10	NZ_CP149538.1	-1	22195	22584
NZ_CP139874.1_263	NZ_CP139874.1_228364-238917:._6	NZ_CP139874.1	1	233363	233917
NZ_CP158563.1_41	NZ_CP158563.1_29261-39418:._8	NZ_CP158563.1	1	34260	34418
NZ_CP158563.1_47	NZ_CP158563.1_35706-46259:._6	NZ_CP158563.1	1	40705	41259
NZ_CP170791.1_29	NZ_CP170791.1_19824-30431:._7	NZ_CP170791.1	-1	24823	25431
NZ_CP170791.1_40	NZ_CP170791.1_30995-41602:._7	NZ_CP170791.1	1	35994	36602
NZ_OZ281637.1_324	NZ_OZ281637.1_328135-338718:._8	NZ_OZ281637.1	-1	333134	333718
NZ_OZ281638.1_27	NZ_OZ281638.1_17256-27875:._6	NZ_OZ281638.1	1	22084	22338
