query_id	subject_id	length	nident	pident	evalue	genome
EFB_0058	NZ_CP123581.1_1864	195	124	63.6	6.56e-79	GCF_030062375.1
EFB_0058	NZ_CP123582.1_14	192	121	63.0	1.28e-78	GCF_030062375.1
EFB_0058	NZ_CP023654.1_694	187	73	39.0	6.10e-33	GCF_006770685.1
EFB_0058	NZ_CP169424.1_51	192	124	64.6	6.48e-80	GCF_041941405.1
EFB_0058	NZ_CP169423.1_47	193	97	50.3	7.79e-52	GCF_041941405.1
EFB_0058	NZ_CP169424.1_8	104	63	60.6	4.65e-37	GCF_041941405.1
EFB_0058	NZ_CP169423.1_44	162	70	43.2	1.84e-34	GCF_041941405.1
EFB_0058	NZ_CP169423.1_39	186	59	31.7	1.07e-21	GCF_041941405.1
EFB_0058	NZ_LS483440.1_152	177	61	34.5	9.92e-27	GCF_900476045.1
EFB_0058	NZ_CP149538.1_5	191	80	41.9	1.73e-40	GCF_055814325.1
EFB_0058	NZ_CP149537.1_30	205	81	39.5	8.13e-40	GCF_055814325.1
EFB_0058	NZ_CP139874.1_263	185	66	35.7	3.24e-24	GCF_036428785.1
EFB_0058	NZ_CP158563.1_47	186	60	32.3	4.31e-22	GCF_040268325.1
EFB_0058	NZ_CP158563.1_41	36	23	63.9	5.00e-09	GCF_040268325.1
EFB_0058	NZ_CP170791.1_40	197	76	38.6	1.80e-32	GCF_050882145.1
EFB_0058	NZ_CP170791.1_29	196	74	37.8	5.04e-32	GCF_050882145.1
EFB_0058	NZ_OZ281637.1_324	194	120	61.9	2.26e-77	GCF_965638145.1
EFB_0058	NZ_OZ281640.1_27	192	115	59.9	5.50e-76	GCF_965638145.1
EFB_0058	NZ_OZ281638.1_12	169	81	47.9	5.44e-45	GCF_965638145.1
EFB_0058	NZ_CP142813.1_48	199	175	87.9	6.85e-121	GCF_036281635.1
EFB_0058	NZ_CP142812.1_32	191	80	41.9	1.68e-40	GCF_036281635.1
EFB_0058	NZ_CP134834.1_12	197	75	38.1	1.60e-32	GCF_036419755.1
EFB_0058	NZ_CP134832.1_158	197	76	38.6	8.88e-32	GCF_036419755.1
EFB_0058	NZ_CP134833.1_6	197	73	37.1	1.00e-30	GCF_036419755.1
EFB_0058	NZ_CP116016.1_1842	192	122	63.5	4.39e-79	GCF_027942455.1
EFB_0058	NZ_CP036071.1_11	154	60	39.0	1.49e-20	GCF_018741285.1
EFB_0058	NZ_CP184530.1_1604	186	74	39.8	1.45e-33	GCF_048630145.1
EFB_0058	NZ_CP028237.1_38	192	123	64.1	6.07e-80	GCF_009937825.1
EFB_0058	NZ_CP028236.1_50	192	122	63.5	2.72e-79	GCF_009937825.1
EFB_0058	NZ_CP028238.1_33	192	122	63.5	2.72e-79	GCF_009937825.1
EFB_0058	NZ_CP028236.1_17	193	97	50.3	1.88e-52	GCF_009937825.1
EFB_0058	NZ_CP028239.1_19	162	69	42.6	6.33e-35	GCF_009937825.1
EFB_0058	NZ_CP028238.1_19	87	51	58.6	1.65e-25	GCF_009937825.1
