downstream_orf	blast_hit_id	contig	orf_start	orf_stop	strand	nearest_defense_gene	nearest_defense_type	nearest_distance_bp	defense_genes_in_window	proximity_score	density_score	defense_score	interpro_domains
NZ_CP169423.1_2036-12349:._7	NZ_CP169423.1_8	NZ_CP169423.1_2036-12349	5693	6817	1	none	none	0	0	0.0	0.0	0.0	IPR013610
NZ_CP169423.1_39198-49814:._9	NZ_CP169423.1_47	NZ_CP169423.1_39198-49814	10076	10615	1	none	none	0	0	0.0	0.0	0.0	IPR003740
NZ_CP169424.1_31560-42140:._2	NZ_CP169424.1_39	NZ_CP169424.1_31560-42140	225	545	-1	NZ_CP169424.1_31560-42140:._6	RM	3331	1	0.1891	0.1	0.1535	
NZ_CP169424.1_31560-42140:._9	NZ_CP169424.1_44	NZ_CP169424.1_31560-42140	8154	8513	1	NZ_CP169424.1_31560-42140:._11	RM	543	3	0.7622	0.3	0.5773	
NZ_CP149538.1_17208-27830:._9	NZ_CP149538.1_30	NZ_CP149538.1_17208-27830	4635	4970	-1	NZ_CP149538.1_17208-27830:._12	RM	781	1	0.6767	0.1	0.446	IPR012336
NZ_OZ281637.1_328135-338718:._7	NZ_OZ281637.1_324	NZ_OZ281637.1_328135-338718	3750	4913	-1	NZ_OZ281637.1_328135-338718:._13	PrrC	4646	0	0.098	0.0	0.0588	IPR026870;IPR026898
NZ_OZ281638.1_17256-27875:._7	NZ_OZ281638.1_27	NZ_OZ281638.1_17256-27875	5091	5510	1	none	none	0	0	0.0	0.0	0.0	
NZ_OZ281640.1_4275-14924:._8	NZ_OZ281640.1_12	NZ_OZ281640.1_4275-14924	5143	6573	-1	none	none	0	0	0.0	0.0	0.0	IPR018778
NZ_CP142812.1_41372-52015:._7	NZ_CP142812.1_48	NZ_CP142812.1_41372-52015	6723	7043	-1	none	none	0	0	0.0	0.0	0.0	IPR032874
NZ_CP028236.1_10536-21167:._5	NZ_CP028236.1_17	NZ_CP028236.1_10536-21167	4011	4913	-1	none	none	0	0	0.0	0.0	0.0	IPR003740;IPR019264
NZ_CP028236.1_30580-41166:._1	NZ_CP028236.1_30	NZ_CP028236.1_30580-41166	574	1005	-1	none	none	0	0	0.0	0.0	0.0	IPR006016
NZ_CP028238.1_10329-20945:._7	NZ_CP028238.1_19	NZ_CP028238.1_10329-20945	7020	7391	-1	none	none	0	0	0.0	0.0	0.0	IPR025161
NZ_CP097072.1_1062332-1072948:._7	NZ_CP097072.1_1019	NZ_CP097072.1_1062332-1072948	5617	7761	1	none	none	0	0	0.0	0.0	0.0	IPR006171;IPR013497;IPR013498;IPR034144
NZ_CP191296.1_40603-51204:._10	NZ_CP191296.1_54	NZ_CP191296.1_40603-51204	5618	6310	1	NZ_CP191296.1_40603-51204:._2	MazEF	4978	0	0.083	0.0	0.0498	IPR006171;IPR013497;IPR034144
NZ_CP128358.1_21237-31391:._8	NZ_CP128358.1_29	NZ_CP128358.1_21237-31391	5103	5252	1	none	none	0	0	0.0	0.0	0.0	IPR006119
NZ_CP064533.1_15940-26547:._9	NZ_CP064533.1_18	NZ_CP064533.1_15940-26547	9321	10607	1	none	none	0	0	0.0	0.0	0.0	IPR000014;IPR003660;IPR003661;IPR013767
