blast_hit_id	hit_contig_orf	downstream_orf	strand	gap_bp
NZ_CP169423.1_8	NZ_CP169423.1_2036-12349:._6	NZ_CP169423.1_2036-12349:._7	1	4
NZ_CP169423.1_47	NZ_CP169423.1_39198-49814:._8	NZ_CP169423.1_39198-49814:._9	1	87
NZ_CP169424.1_39	NZ_CP169424.1_31560-42140:._3	NZ_CP169424.1_31560-42140:._2	-1	-7
NZ_CP169424.1_44	NZ_CP169424.1_31560-42140:._8	NZ_CP169424.1_31560-42140:._9	1	43
NZ_CP149538.1_30	NZ_CP149538.1_17208-27830:._10	NZ_CP149538.1_17208-27830:._9	-1	18
NZ_OZ281637.1_324	NZ_OZ281637.1_328135-338718:._8	NZ_OZ281637.1_328135-338718:._7	-1	87
NZ_OZ281638.1_27	NZ_OZ281638.1_17256-27875:._6	NZ_OZ281638.1_17256-27875:._7	1	8
NZ_OZ281640.1_12	NZ_OZ281640.1_4275-14924:._9	NZ_OZ281640.1_4275-14924:._8	-1	-10
NZ_CP142812.1_48	NZ_CP142812.1_41372-52015:._8	NZ_CP142812.1_41372-52015:._7	-1	47
NZ_CP028236.1_17	NZ_CP028236.1_10536-21167:._6	NZ_CP028236.1_10536-21167:._5	-1	87
NZ_CP028236.1_30	NZ_CP028236.1_30580-41166:._2	NZ_CP028236.1_30580-41166:._1	-1	0
NZ_CP028238.1_19	NZ_CP028238.1_10329-20945:._8	NZ_CP028238.1_10329-20945:._7	-1	51
NZ_CP097072.1_1019	NZ_CP097072.1_1062332-1072948:._6	NZ_CP097072.1_1062332-1072948:._7	1	0
NZ_CP191296.1_54	NZ_CP191296.1_40603-51204:._9	NZ_CP191296.1_40603-51204:._10	1	16
NZ_CP128358.1_29	NZ_CP128358.1_21237-31391:._7	NZ_CP128358.1_21237-31391:._8	1	-52
NZ_CP064533.1_18	NZ_CP064533.1_15940-26547:._8	NZ_CP064533.1_15940-26547:._9	1	13
NZ_CP091891.1_46	NZ_CP091891.1_40732-51348:._9	NZ_CP091891.1_40732-51348:._10	1	0
